Customer_Ref,Marital Status,Gender,Annual Income,Total Children,EducationLevel,Occupation,Age,Home Owner,,
customer2433,,      f,,3,,,67,,,
customer12361,S,    f,"£77,675",1,    Partial College,Clerical,37,N,,
customer12362,S,f,"£47,195",3,Partial College,Professional,34,Y,,
customer12363,M,m,"£56,488",3,      Partial College,Manual,45,N,,
     customer12364,M,m,"£64,587",0,High School,Clerical,34,Y,,
customer12365,S,m,"£84,877",1,Partial College,Clerical,50,N,,
customer12366,M,m,"£89,944",1,Partial College,Manual,26,N,,
customer12367,M,m,"£75,797",2,High School,Skilled Manual,36,N,,
customer12368,S,m,"£37,046",4,Bachelors,Skilled Manual,38,N,,
customer12369,S,f,"£43,828",3,Bachelors,Manual,37,N,,                                                                                  
customer12370,S,m,"£85,249",4,High School,Management,50,Y,,
customer12371,M,m,"£73,662",3,Graduate Degree,Clerical,48,N,,
customer12372,M,m,"£49,404",4,Bachelors,Clerical,35,N,,
customer12373,S,m,"£87,955",5,Graduate Degree,Management,44,N,,
customer12374,S,f,"£49,019",4,Partial High School,Clerical,50,Y,,
customer12375,S,f,"£85,081",4,Graduate Degree,Clerical,24,N,,
customer12376,M,m,"£43,956",4,Partial High School,Clerical,25,N,,
customer12377,M,m,"£44,738",5,Bachelors,Management,43,N,,
customer12378,S,m,"£40,243",3,Partial High School,Clerical,37,Y,,
customer12379,S,f,"£58,468",2,High School,Management,36,N,,
customer12380,S,f,"£55,932",3,Partial High School,Skilled Manual,52,N,,
customer12381,S,m,"£46,642",1,Partial High School,Management,39,N,,
customer12382,M,m,"£84,374",3,Bachelors,Manual,25,Y,,
customer12383,S,m,"£79,708",0,Bachelors,Manual,28,Y,,
customer12384,M,m,"£54,127",3,High School,Management,35,Y,,
customer12385,M,m,"£54,878",4,High School,Manual,49,Y,,
customer12386,S,f,"£79,591",2,Partial High School,Clerical,23,N,,
customer12387,M,f,"£67,047",1,Partial College,Manual,51,Y,,
customer12388,S,f,"£59,891",5,Bachelors,Skilled Manual,34,Y,,
customer12389,M,m,"£89,516",0,Bachelors,Management,37,Y,,
customer12390,M,m,"£76,473",4,Partial College,Clerical,43,Y,,
customer12391,S,m,"£62,618",3,Bachelors,Management,49,N,,
customer12392,S,f,"£59,671",0,Graduate Degree,Professional,54,N,,
customer12393,M,m,"£48,644",3,Bachelors,Professional,36,Y,,
customer12394,M,f,"£84,995",1,Bachelors,Skilled Manual,51,Y,,
customer12395,M,f,"£60,668",4,Partial College,Clerical,22,Y,,
customer12396,S,m,"£59,827",3,Partial High School,Skilled Manual,42,N,,
customer12397,M,m,"£87,320",5,Bachelors,Management,36,N,,
customer12398,M,f,"£63,671",0,Partial High School,Professional,31,Y,,
customer12399,M,f,"£88,683",1,Graduate Degree,Clerical,30,N,,
customer12400,S,m,"£32,034",0,Partial High School,Professional,44,Y,,
customer12401,S,m,"£78,589",0,High School,Skilled Manual,33,N,,
customer12402,M,f,"£36,474",4,Partial College,Clerical,48,Y,,
customer12403,S,m,"£31,124",3,Partial High School,Skilled Manual,24,N,,
customer12404,M,m,"£37,966",3,Partial College,Management,43,Y,,
customer12405,S,f,"£43,645",3,Bachelors,Skilled Manual,25,Y,,
customer12406,S,m,"£42,709",4,Graduate Degree,Management,51,Y,,
customer12407,M,f,"£44,887",3,Partial High School,Skilled Manual,48,N,,
customer12408,M,m,"£34,001",0,Bachelors,Management,40,N,,
customer12409,M,m,"£73,090",2,Bachelors,Manual,26,Y,,
customer12410,M,m,"£65,191",0,Partial College,Skilled Manual,29,Y,,
customer12411,S,m,"£43,780",5,Bachelors,Clerical,44,Y,,
customer12412,M,f,"£69,647",4,High School,Management,22,Y,,
customer12413,M,f,"£58,594",2,Partial High School,Manual,28,N,,
customer12414,M,m,"£45,329",2,Partial High School,Clerical,45,N,,
customer12415,S,m,"£63,077",3,High School,Professional,27,Y,,
customer12416,M,m,"£77,857",3,High School,Clerical,47,N,,
customer12417,S,f,"£33,297",1,High School,Manual,43,N,,
customer12418,S,f,"£63,019",4,High School,Management,46,Y,,
customer12419,M,f,"£77,231",0,Partial College,Manual,31,N,,
customer12420,M,f,"£82,254",0,High School,Skilled Manual,25,N,,
customer12421,S,f,"£85,147",0,Bachelors,Manual,31,Y,,
customer12422,S,f,"£47,968",5,Bachelors,Skilled Manual,38,N,,
customer12423,S,f,"£51,643",0,Graduate Degree,Manual,28,Y,,
customer12424,S,f,"£46,187",1,Bachelors,Clerical,42,N,,
customer12425,M,f,"£40,969",5,High School,Clerical,46,N,,
customer12426,S,f,"£78,899",3,Bachelors,Clerical,38,N,,
customer12427,S,m,"£36,149",0,Partial High School,Management,23,Y,,
customer12428,S,m,"£83,585",1,Graduate Degree,Manual,33,N,,
customer12429,S,f,"£74,551",2,Bachelors,Clerical,50,Y,,
customer12430,S,m,"£71,408",1,Graduate Degree,Manual,30,N,,
customer12431,M,m,"£64,195",3,Graduate Degree,Clerical,28,Y,,
customer12432,S,f,"£35,223",5,Bachelors,Skilled Manual,41,Y,,
customer12433,S,m,"£66,795",3,Graduate Degree,Professional,42,N,,
customer12434,S,m,"£38,531",0,Bachelors,Professional,47,Y,,
customer12435,S,f,"£32,760",4,Partial College,Manual,28,N,,
customer12436,M,f,"£65,133",1,Graduate Degree,Management,50,Y,,
customer12437,M,m,"£49,041",5,Partial College,Manual,38,Y,,
customer12438,M,m,"£83,493",3,Bachelors,Manual,26,N,,
customer12439,S,m,"£35,139",2,Partial High School,Manual,39,Y,,
customer12440,S,m,"£78,200",4,High School,Professional,26,N,,
customer12441,M,f,"£54,282",5,Bachelors,Clerical,43,Y,,
customer12442,S,m,"£88,841",4,Partial High School,Professional,26,Y,,
customer12443,S,m,"£54,181",0,Partial College,Skilled Manual,41,Y,,
customer12444,S,m,"£57,500",4,Partial College,Clerical,42,Y,,
customer12445,M,f,"£33,357",0,Partial High School,Professional,22,N,,
customer12446,M,m,"£63,490",2,Partial High School,Management,24,Y,,
customer12447,S,f,"£66,551",2,Partial College,Skilled Manual,49,N,,
customer12448,M,m,"£61,184",3,Partial High School,Clerical,54,N,,
customer12449,S,f,"£71,648",5,Graduate Degree,Professional,31,Y,,
customer12450,M,f,"£43,484",3,Partial High School,Professional,30,Y,,
customer12451,S,m,"£59,723",4,High School,Skilled Manual,51,Y,,
customer12452,M,m,"£47,068",5,Bachelors,Clerical,55,N,,
customer12453,M,f,"£66,175",1,High School,Professional,53,Y,,
customer12454,M,m,"£69,394",2,Partial College,Manual,45,N,,
customer12455,M,f,"£53,311",3,Partial High School,Skilled Manual,30,Y,,
customer12456,S,f,"£57,092",0,Partial High School,Professional,24,N,,
customer12457,M,f,"£63,220",0,Graduate Degree,Professional,30,N,,
customer12458,S,m,"£49,801",1,Bachelors,Clerical,23,N,,
customer12459,M,m,"£64,908",0,Partial College,Manual,55,Y,,
customer12460,M,m,"£88,064",0,Partial High School,Clerical,37,N,,
customer12461,S,f,"£84,999",2,Bachelors,Clerical,44,N,,
customer12462,M,f,"£88,167",3,Graduate Degree,Professional,33,N,,
customer12463,M,f,"£56,724",1,Bachelors,Professional,50,N,,
customer12464,M,f,"£57,130",0,Bachelors,Manual,47,N,,
customer12465,S,f,"£70,514",5,Partial College,Management,42,N,,
customer12466,S,m,"£70,847",1,Partial College,Clerical,42,Y,,
customer12467,M,m,"£61,622",3,Partial High School,Professional,47,Y,,
customer12468,M,f,"£54,142",0,High School,Skilled Manual,42,Y,,
customer12469,S,m,"£69,036",0,Bachelors,Clerical,37,N,,
customer12470,S,m,"£65,026",0,High School,Manual,34,N,,
customer12471,S,f,"£40,057",1,Partial College,Skilled Manual,51,N,,
customer12472,M,f,"£52,644",0,High School,Management,37,Y,,
customer12473,M,m,"£64,438",2,Bachelors,Professional,50,Y,,
customer12474,M,f,"£48,417",2,Bachelors,Manual,26,N,,
customer12475,M,f,"£57,364",2,Graduate Degree,Professional,47,N,,
customer12476,M,f,"£82,528",0,Graduate Degree,Manual,44,Y,,
customer12477,S,f,"£63,885",3,Bachelors,Skilled Manual,31,N,,
customer12478,M,m,"£86,215",3,High School,Skilled Manual,31,Y,,
customer12479,M,f,"£36,703",5,Partial College,Manual,37,Y,,
customer12480,S,f,"£47,210",0,Partial High School,Clerical,42,Y,,
customer12481,S,f,"£59,094",0,Partial High School,Clerical,44,Y,,
customer12482,M,f,"£35,184",5,Bachelors,Clerical,34,Y,,
customer12483,M,m,"£70,576",0,Partial College,Management,47,N,,
customer12484,M,f,"£55,664",0,Partial College,Clerical,52,N,,
customer12485,S,m,"£37,033",3,Partial College,Skilled Manual,23,N,,
customer12486,M,f,"£63,992",1,Bachelors,Management,34,Y,,
customer12487,M,m,"£40,624",1,Bachelors,Professional,26,Y,,
customer12488,M,f,"£61,457",4,Partial College,Manual,35,N,,
customer12489,S,m,"£40,963",1,Bachelors,Manual,54,N,,
customer12490,S,f,"£60,053",1,High School,Manual,37,Y,,
customer12491,M,m,"£31,502",4,Partial College,Skilled Manual,52,Y,,
customer12492,S,f,"£55,156",2,High School,Clerical,26,Y,,
customer12493,M,f,"£32,535",0,Partial High School,Professional,38,Y,,
customer12494,M,f,"£35,315",3,Partial High School,Manual,31,N,,
customer12495,M,f,"£68,345",3,Partial College,Clerical,41,N,,
customer12496,M,f,"£41,851",3,High School,Manual,53,N,,
customer12497,S,f,"£51,182",2,Graduate Degree,Clerical,41,Y,,
customer12498,S,f,"£72,070",1,Partial College,Professional,31,Y,,
customer12499,M,m,"£49,730",4,Bachelors,Skilled Manual,38,N,,
customer12500,S,m,"£38,887",5,High School,Manual,43,Y,,
customer12501,M,m,"£67,953",4,High School,Professional,41,Y,,
customer12502,S,f,"£47,203",5,Graduate Degree,Skilled Manual,46,Y,,
customer12503,M,m,"£57,515",5,Bachelors,Management,39,N,,
customer12504,S,m,"£60,857",1,Partial College,Professional,34,Y,,
customer12505,S,f,"£86,714",3,Bachelors,Clerical,25,N,,
customer12506,M,m,"£69,668",1,Partial College,Skilled Manual,25,N,,
customer12507,S,m,"£69,595",1,Bachelors,Management,25,Y,,
customer12508,M,m,"£44,137",3,High School,Professional,51,N,,
customer12509,M,m,"£38,800",2,Partial College,Professional,48,N,,
customer12510,S,f,"£30,969",4,High School,Professional,28,N,,
customer12511,M,m,"£73,614",2,Partial High School,Professional,22,Y,,
customer12512,M,m,"£34,755",4,High School,Clerical,39,N,,
customer12513,M,m,"£56,315",2,Partial College,Manual,35,N,,
customer12514,M,f,"£45,124",2,High School,Clerical,25,N,,
customer12515,S,m,"£47,171",5,High School,Professional,49,N,,
customer12516,S,m,"£35,954",4,Partial College,Manual,53,N,,
customer12517,M,m,"£43,750",0,Graduate Degree,Skilled Manual,28,Y,,
customer12518,M,f,"£46,049",4,Graduate Degree,Clerical,23,N,,
customer12519,S,m,"£34,196",5,Graduate Degree,Skilled Manual,22,Y,,
customer12520,M,m,"£89,580",2,Graduate Degree,Manual,51,Y,,
customer12521,S,f,"£53,983",1,Partial College,Professional,41,Y,,
customer12522,S,f,"£59,345",0,Graduate Degree,Clerical,43,N,,
customer12523,M,f,"£47,110",3,Partial High School,Professional,55,N,,
customer12524,M,f,"£89,679",0,High School,Manual,45,Y,,
customer12525,M,m,"£45,237",0,Partial College,Skilled Manual,23,N,,
customer12526,S,m,"£67,206",3,Partial College,Professional,45,Y,,
customer12527,M,m,"£39,824",2,Graduate Degree,Skilled Manual,36,Y,,
customer12528,S,f,"£34,167",4,Bachelors,Professional,37,Y,,
customer12529,M,f,"£69,366",3,High School,Clerical,36,Y,,
customer12530,M,m,"£51,407",1,Partial College,Professional,28,N,,
customer12531,S,f,"£54,805",2,Partial High School,Skilled Manual,26,Y,,
customer12532,S,f,"£45,926",1,Partial College,Skilled Manual,38,N,,
customer12533,M,f,"£51,673",1,Partial High School,Manual,47,N,,
customer12534,M,f,"£59,815",2,Partial High School,Professional,27,Y,,
customer12535,S,m,"£80,282",4,Partial High School,Professional,48,N,,
customer12536,S,m,"£72,835",4,Partial High School,Skilled Manual,54,N,,
customer12537,M,f,"£56,739",4,Partial High School,Professional,34,N,,
customer12538,M,m,"£69,273",2,Bachelors,Clerical,25,Y,,
customer12539,M,m,"£77,125",1,Partial College,Professional,46,Y,,
customer12540,S,m,"£71,568",5,Bachelors,Clerical,24,Y,,
customer12541,S,m,"£57,927",1,High School,Management,36,Y,,
customer12542,S,f,"£70,724",3,Graduate Degree,Skilled Manual,54,N,,
customer12543,M,f,"£66,676",3,Partial High School,Clerical,29,Y,,
customer12544,M,f,"£77,821",5,Partial College,Clerical,24,Y,,
customer12545,M,m,"£47,029",0,Graduate Degree,Skilled Manual,31,Y,,
customer12546,M,m,"£51,702",2,Bachelors,Clerical,22,Y,,
customer12547,M,f,"£50,007",2,Graduate Degree,Professional,53,N,,
customer12548,S,m,"£73,846",3,High School,Manual,37,Y,,
customer12549,S,f,"£85,445",4,Partial College,Management,38,N,,
