Product Key,Subcategory Key,Product Name,Color,Cost,Price
200,1014,ASUS ROG Claymore II RX Red Optical Mechanical Wireless/USB Modular Gaming Keyboard,"Black,",£17,£24
201,1016,LG XBOOM LK72B Bluetooth Traditional Hi-Fi System,"Black,",£100,£140
202,1018,"TP-LINK Archer AX10 WiFi Cable & Fibre Router - AX 1500, Dual-band","Black,",£136,£162
203,1012,SkyTech Shadow 3.0 Ryzen 5 RTX 3060 1TB Desktop,"Grey,",£992,"£1,131"
204,1026,HP 500 Wireless Headset,"Black,",£19,£29
205,1012,Dell XPS 8940 Intel i7 512GB SSD 16GB RAM Desktop,"Grey,",£946,"£1,324"
206,1018,"ASUS RT-AX88U WiFi Cable & Fibre Router - AX 6000, Dual-band","Black,",£138,£152
207,1013,HP OMEN 40L Intel i7 RTX 3060 512GB SSD Desktop,"Grey,",£994,"£1,232"
208,1017,"SEAGATE Expansion External Hard Drive - 1 TB, Black","Grey,",£63,£78
209,1011,Microsoft surface book 3,"Grey,",£924,"£1,278"
210,1016,LG XBOOM LK72B Bluetooth Traditional Hi-Fi System,"Silver,",£115,£144
211,1015,SATECHI M1 Wireless Optical Mouse - Space Grey,"Silver,",£18,£25
212,1021,SANDSTROM SWCAMHD19 Full HD Webcam,"Black,",£49,£78
213,1014,Logitech Wireless Combo MK270 Keyboard & Mouse Set,"Grey,",£20,£21
214,1025,MSI Z690-A PRO LGA1700 Motherboard,"Silver,",£113,£190
215,1018,"ASUS DSL-AX82U WiFi Modem Router - AX 5400, Dual-band","Grey,",£137,£171
216,1023,SANDSTROM Black Series S3HDM115 High Speed HDMI Cable with Ethernet - 3 m,"Black,",£13,£22
217,1015,RAPOO MT750S Wireless Laser Mouse,"Silver,",£19,£21
218,1014,ASUS ROG Strix Scope TKL Deluxe Wired Mechanical RGB Gaming Keyboard - UK Layout,"Black,",£17,£20
219,1013,Skytech Gaming Shiva Intel i5 RTX 3060 1TB SSD Desktop,"Black,",£946,"£1,422"
220,1012,Dell Inspiron 3910 Intel i5 256GB SSD 8GB RAM Desktop,"Grey,",£992,"£1,274"
221,1029,CANON PIXMA TS3355 All-in-One Wireless Inkjet Printer,"Black,",£97,£130
222,1022,ADVENT USB Type-C to HDMI & USB Adapter,"Black,",£11,£21
223,1011,Huawei matebook x pro,"Black,",£998,"£1,451"
224,1013,Alienware Aurora R10 Ryzen 5 RTX 2080 Super Desktop ,"Blue,",£998,"£1,470"
225,1017,"SEAGATE Expansion External Hard Drive - 1 TB, Black","Grey,",£62,£84
226,1021,ADVENT AWCAMHD15 Full HD Webcam,"Silver,",£55,£73
227,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Black,",£64,£86
228,1029,HP DeskJet 4120e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Grey,",£98,£110
229,1022,APPLE Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,"Grey,",£12,£16
230,1023,ESSENTIALS C2HDMI15 High Speed HDMI Cable - 2 m,"Grey,",£12,£17
231,1028,BROTHER HLL2350DW Monochrome Wireless Laser Printer,"Black,",£74,£101
232,1016,JBL Xtreme 2 Portable Bluetooth Speaker - Gun Metal Grey,"Black,",£129,£134
233,1030,BROTHER MFC-L8690CDW All-in-One Wireless Laser Colour Printer with Fax,"Grey,",£95,£129
234,1012,SkyTech Shadow 3.0 Ryzen 5 RTX 3060 1TB Desktop,"Silver,",£940,"£1,496"
235,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Silver,",£50,£95
236,1012,SkyTech Shadow 3.0 Ryzen 5 RTX 3060 1TB Desktop,"Silver,",£912,"£1,353"
237,1025,ASUS ROG STRIX B450-F GAMING II AM4 Motherboard,"Grey,",£105,£157
238,1019,CORSAIR Vengeance LPX DDR4 3200 MHz PC RAM - 8 GB x 2,"Grey,",£57,£95
239,1022,ADVENT USB Type-C to HDMI & USB Adapter,"Black,",£13,£21
240,1029,EPSON Expression Home XP-3155 All-in-One Wireless Inkjet Printer,"Silver,",£57,£129
241,1019,PNY XLR8 DDR4 3200 MHz PC RAM - 8 GB x 2,"Silver,",£58,£93
242,1029,EPSON EcoTank ET-2810 All-in-One Wireless Inkjet Printer,"Black,",£98,£105
243,1017,"SEAGATE Expansion External Hard Drive - 1 TB, Black","Silver,",£65,£86
