Product Key,Subcategory Key,Product Name,Color,Cost,Price
349,1018,"ASUS DSL-AX82U WiFi Modem Router - AX 5400, Dual-band","Black,",£137,£179
350,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Grey,",£63,£95
351,1014,ASUS ROG Claymore II RX Red Optical Mechanical Wireless/USB Modular Gaming Keyboard,"Silver,",£18,£21
352,1030,HP MFP 178nw All-in-One Wireless Laser Colour Printer,"Silver,",£74,£122
353,1011,Microsoft surface book 3,"Silver,",£974,"£1,214"
354,1030,HP MFP 178nw All-in-One Wireless Laser Colour Printer,"Silver,",£63,£101
355,1021,ADVENT AWCAMHD15 Full HD Webcam,"Grey,",£52,£74
356,1013,HP OMEN 40L Intel i7 RTX 3060 512GB SSD Desktop,"Blue,",£954,"£1,045"
357,1020,CORSAIR LL Series 120 mm Case Fan - RGB LED,"Grey,",£38,£62
358,1025,ASUS PRIME B550M-A AM4 Motherboard,"Grey,",£116,£154
359,1023,SANDSTROM Black Series S1HDM115 High Speed HDMI Cable with Ethernet - 1 m,"Silver,",£15,£19
360,1016,JBL Charge 5 Portable Bluetooth Speaker ,"Silver,",£110,£134
361,1012,SkyTech Shadow 3.0 Ryzen 5 RTX 3060 1TB Desktop,"Silver,",£923,"£1,385"
362,1018,"TP-LINK TL-WR902AC WiFi Cable & Fibre Router - AC 750, Dual-band","Black,",£140,£188
363,1013,Alienware Aurora R10 Ryzen 9 RTX 3080 1TB Desktop,"Grey,",£987,"£1,115"
364,1020,CORSAIR LL Series 120 mm Case Fan - RGB LED,"Silver,",£30,£62
365,1013,HP Pavilion Intel i5 RTX 3060 256GB SSD Desktop,"Grey,",£989,"£1,150"
366,1019,CORSAIR Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,"Grey,",£69,£84
367,1013,Skytech Gaming Shiva Intel i5 RTX 3060 1TB SSD Desktop,"Blue,",£916,"£1,336"
368,1026,HP 500 Wireless Headset,"Silver,",£16,£29
369,1023,ESSENTIALS C1HDMI15 High Speed HDMI Cable - 1 m,"Black,",£10,£24
370,1020,CORSAIR LL Series 120 mm Case Fan - RGB LED,"Black,",£39,£80
371,1020,"CORSAIR LL Series 120 mm Case Fan - Triple Pack, RGB LED","Silver,",£38,£66
372,1028,BROTHER HLL2310D Monochrome Laser Printer,"Grey,",£55,£126
373,1022,APPLE USB-C to USB Adapter,"Silver,",£13,£16
374,1020,MSI MAG CORELIQUID 240R V2 240 mm Liquid CPU Cooler - RGB LED,"Grey,",£30,£64
375,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Black,",£55,£94
376,1025,ASUS PRIME B550M-A AM4 Motherboard,"Silver,",£101,£172
377,1018,"ASUS DSL-AX82U WiFi Modem Router - AX 5400, Dual-band","Grey,",£148,£175
378,1016,LG XBOOM LK72B Bluetooth Traditional Hi-Fi System,"Grey,",£112,£133
379,1014,Logitech Wireless Combo MK270 Keyboard & Mouse Set,"Black,",£19,£21
380,1025,ASUS ROG STRIX B450-F GAMING II AM4 Motherboard,"Silver,",£103,£160
381,1027,HP DeskJet Plus 4130e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Black,",£78,£107
382,1018,"ASUS DSL-AX82U WiFi Modem Router - AX 5400, Dual-band","Black,",£131,£184
383,1012,Dell Inspiron 3910 Intel i5 256GB SSD 8GB RAM Desktop,"Black,",£956,"£1,414"
384,1025,ASUS PRIME B550M-A AM4 Motherboard,"Silver,",£100,£188
385,1025,ASUS TUF GAMING B550-PLUS AM4 Motherboard,"Black,",£112,£185
386,1017,SEAGATE One Touch Portable Hard Drive - 4 TB,"Grey,",£64,£77
387,1027,EPSON Expression Home XP-3155 All-in-One Deskjet Printer,"Black,",£76,£101
388,1013,HP OMEN 40L Intel i7 RTX 3060 512GB SSD Desktop,"Blue,",£945,"£1,215"
389,1022,ADVENT USB-A to USB-B Cable - 1.8 m,"Grey,",£10,£20
390,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Silver,",£60,£93
391,1016,SONY SRS-XB43 Portable Bluetooth Speaker,"Grey,",£120,£150
392,1030,HP MFP 178nw All-in-One Wireless Laser Colour Printer,"Silver,",£55,£104
393,1021,ADVENT AWCAMHD15 Full HD Webcam,"Grey,",£39,£76
394,1026,LOGITECH H340 USB Headset,"Grey,",£15,£25
395,1019,PNY XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,"Black,",£51,£97
396,1029,EPSON Expression Home XP-3155 All-in-One Wireless Inkjet Printer,"Black,",£88,£128
397,1027,HP DeskJet 2710e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,"Silver,",£76,£130
398,1017,SEAGATE One Touch Portable Hard Drive - 4 TB,"Grey,",£49,£74
399,1018,"TP-LINK TL-WR902AC WiFi Cable & Fibre Router - AC 750, Dual-band","Grey,",£144,£174
400,1021,SANDSTROM SWCAMHD19 Full HD Webcam,"Black,",£39,£66
401,1024,HP 500 Wireless Headset,"Silver,",£21,£27
402,1020,"CORSAIR LL Series 120 mm Case Fan - Triple Pack, RGB LED","Black,",£40,£80
403,1016,SONY SRS-XB43 Portable Bluetooth Speaker,"Black,",£114,£140
