Order Date,Order Ref No,Customer Ref,Order Number,Product Key,Region Key,Order Quantity
06/05/2017,2017XX270908,125566,ON#2357,200,5,77
08/05/2018,2018YY212143,123511,ON#2352,200,5,75
21/04/2018,2018XX265427,132706,ON#2363,200,2,87
12/02/2015,2015XX241305,131476,ON#2411,200,2,75
28/12/2018,2018YY221789,130906,ON#2372,200,3,76
05/10/2016,2016XX253968,123466,ON#2357,200,4,80
19/12/2017,2017XX257132,126076,ON#2429,200,3,78
10/09/2016,2016XX242551,129436,ON#2422,200,1,80
08/06/2017,2017XX240031,123121,ON#2358,200,3,79
15/12/2017,2017XX242278,121486,ON#2393,200,3,89
27/02/2015,2015YY266715,131596,ON#2417,200,3,83
27/09/2017,2017XX239807,124621,ON#2422,200,1,76
04/12/2018,2018XX232828,124036,ON#2370,200,2,88
22/03/2017,2017XX250223,128746,ON#2442,200,4,86
06/12/2018,2018XX216448,132061,ON#2439,200,3,83
27/08/2015,2015XX237973,127831,ON#2375,200,2,82
17/06/2018,2018XX277789,126976,ON#2392,200,4,79
05/08/2017,2017XX258350,121756,ON#2358,200,3,87
15/02/2018,2018XX238519,122821,ON#2392,200,2,89
19/11/2015,2015XX249663,124876,ON#2401,200,4,76
11/12/2016,2016XX232996,130291,ON#2349,200,4,90
26/12/2016,2016XX222993,130396,ON#2357,200,1,90
08/04/2016,2016XX257468,125251,ON#2401,200,5,77
15/06/2018,2018YY266085,124111,ON#2431,200,4,85
06/03/2018,2018XX242495,123136,ON#2413,200,5,80
05/10/2018,2018YY228663,124756,ON#2388,200,5,83
12/10/2018,2018YY272049,123586,ON#2437,200,2,82
23/04/2016,2016XX232765,125506,ON#2390,200,3,76
14/10/2015,2015XX253982,130501,ON#2412,200,1,88
16/07/2018,2018XX230497,132316,ON#2424,200,2,80
12/10/2018,2018XX238939,131521,ON#2447,200,5,85
08/07/2017,2017XX218688,130981,ON#2381,200,2,82
10/03/2016,2016XX212220,129091,ON#2400,201,5,76
25/12/2016,2016XX235866,124231,ON#2355,201,1,90
19/12/2017,2017XX257132,126076,ON#2413,201,1,90
30/11/2018,2018XX264020,129211,ON#2372,201,1,84
07/07/2015,2015XX270733,125746,ON#2436,201,4,81
07/12/2016,2016XX243097,124486,ON#2433,201,4,76
18/04/2018,2018XX252162,124516,ON#2419,201,5,86
28/07/2015,2015XX268206,130741,ON#2402,201,2,76
14/02/2015,2015XX220445,129481,ON#2365,201,5,87
26/04/2018,2018XX212290,124771,ON#2390,201,1,77
24/10/2017,2017XX261192,131026,ON#2352,201,2,87
24/08/2017,2017XX273617,129586,ON#2369,201,3,78
06/12/2017,2017YY276291,129106,ON#2415,201,3,90
05/08/2017,2017XX258350,121756,ON#2437,201,4,78
14/05/2016,2016YY231715,122506,ON#2395,201,1,75
22/12/2017,2017XX257370,130831,ON#2357,201,3,87
21/10/2018,2018XX211324,131476,ON#2417,201,3,81
16/02/2018,2018YY215874,132361,ON#2386,201,3,88
24/06/2015,2015YY247094,125821,ON#2365,201,3,86
06/10/2017,2017XX273596,128461,ON#2415,201,3,80
15/08/2016,2016XX254577,132421,ON#2391,201,1,86
